Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,TB,Rotation,Comment
D28_62,D1608[0603]S,58.5846mm,66.9868mm,58.5846mm,66.9868mm,59.1149mm,67.5171mm,T,225,LED
D29_62,D1608[0603]S,60.5658mm,66.9868mm,60.5658mm,66.9868mm,61.0961mm,67.5171mm,T,225,LED
D30_62,D1608[0603]S,62.547mm,66.9868mm,62.547mm,66.9868mm,63.0773mm,67.5171mm,T,225,LED
D31_62,D1608[0603]S,64.5282mm,66.9868mm,64.5282mm,66.9868mm,65.0585mm,67.5171mm,T,225,LED
D32_62,D1608[0603]S,66.5094mm,66.9868mm,66.5094mm,66.9868mm,67.0397mm,67.5171mm,T,225,LED
D33_62,D1608[0603]S,68.4906mm,66.9868mm,68.4906mm,66.9868mm,69.0209mm,67.5171mm,T,225,LED
D34_62,D1608[0603]S,70.4718mm,66.9868mm,70.4718mm,66.9868mm,71.0021mm,67.5171mm,T,225,LED
D35_62,D1608[0603]S,72.453mm,66.9868mm,72.453mm,66.9868mm,72.9833mm,67.5171mm,T,225,LED
D36_62,D1608[0603]S,74.4342mm,66.9868mm,74.4342mm,66.9868mm,74.9645mm,67.5171mm,T,225,LED
D37_62,D1608[0603]S,76.4154mm,66.9868mm,76.4154mm,66.9868mm,76.9457mm,67.5171mm,T,225,LED
D38_62,D1608[0603]S,78.3966mm,66.9868mm,78.3966mm,66.9868mm,78.9269mm,67.5171mm,T,225,LED
D39_62,D1608[0603]S,80.3778mm,66.9868mm,80.3778mm,66.9868mm,80.9081mm,67.5171mm,T,225,LED
D40_62,D1608[0603]S,82.359mm,66.9868mm,82.359mm,66.9868mm,82.8893mm,67.5171mm,T,225,LED
D41_62,D1608[0603]S,84.3402mm,66.9868mm,84.3402mm,66.9868mm,84.8705mm,67.5171mm,T,225,LED
D42_62,D1608[0603]S,86.3214mm,66.9868mm,86.3214mm,66.9868mm,86.8517mm,67.5171mm,T,225,LED
D43_62,D1608[0603]S,88.3026mm,66.9868mm,88.3026mm,66.9868mm,88.8329mm,67.5171mm,T,225,LED
D44_62,D1608[0603]S,90.2838mm,66.9868mm,90.2838mm,66.9868mm,90.8141mm,67.5171mm,T,225,LED
D45_62,D1608[0603]S,92.265mm,66.9868mm,92.265mm,66.9868mm,92.7953mm,67.5171mm,T,225,LED
D46_62,D1608[0603]S,94.2462mm,66.9868mm,94.2462mm,66.9868mm,94.7765mm,67.5171mm,T,225,LED
D47_62,D1608[0603]S,96.2274mm,66.9868mm,96.2274mm,66.9868mm,96.7577mm,67.5171mm,T,225,LED
D48_62,D1608[0603]S,98.2086mm,66.9868mm,98.2086mm,66.9868mm,98.7389mm,67.5171mm,T,225,LED
D49_62,D1608[0603]S,100.1898mm,66.9868mm,100.1898mm,66.9868mm,100.7201mm,67.5171mm,T,225,LED
D50_62,D1608[0603]S,102.171mm,66.9868mm,102.171mm,66.9868mm,102.7013mm,67.5171mm,T,225,LED
D51_62,D1608[0603]S,104.1522mm,66.9868mm,104.1522mm,66.9868mm,104.6825mm,67.5171mm,T,225,LED
D52_62,D1608[0603]S,106.1334mm,66.9868mm,106.1334mm,66.9868mm,106.6637mm,67.5171mm,T,225,LED
D53_62,D1608[0603]S,108.1146mm,66.9868mm,108.1146mm,66.9868mm,108.6449mm,67.5171mm,T,225,LED
D54_62,D1608[0603]S,110.0958mm,66.9868mm,110.0958mm,66.9868mm,110.6261mm,67.5171mm,T,225,LED
D55_62,D1608[0603]S,112.077mm,66.9868mm,112.077mm,66.9868mm,112.6073mm,67.5171mm,T,225,LED
D56_62,D1608[0603]S,114.0582mm,66.9868mm,114.0582mm,66.9868mm,114.5885mm,67.5171mm,T,225,LED
D57_62,D1608[0603]S,116.0394mm,66.9868mm,116.0394mm,66.9868mm,116.5697mm,67.5171mm,T,225,LED
D58_62,D1608[0603]S,118.0206mm,66.9868mm,118.0206mm,66.9868mm,118.5509mm,67.5171mm,T,225,LED
D59_62,D1608[0603]S,120.0018mm,66.9868mm,120.0018mm,66.9868mm,120.5321mm,67.5171mm,T,225,LED
D60_62,D1608[0603]S,121.983mm,66.9868mm,121.983mm,66.9868mm,122.5133mm,67.5171mm,T,225,LED
D61_62,D1608[0603]S,123.9642mm,66.9868mm,123.9642mm,66.9868mm,124.4945mm,67.5171mm,T,225,LED
